timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20150125_153712 50 1 1 100000 103765041 9932 10000 68 0 0 9932 39 2500 1 0 0 0 9932 82.420 71.494 ../q2/d50a2500s1/logb0001/c01d50b0001s103765041.log 1190121 q2-extractinstructions-02.txt 20150129_174205 0.4
20150125_153846 50 1 1 100000 105731136 9935 10000 65 0 0 9935 39 2500 1 0 0 0 9935 79.176 71.339 ../q2/d50a2500s1/logb0001/c01d50b0001s105731136.log 1190483 q2-extractinstructions-02.txt 20150129_174208 0.4
20150125_153840 50 1 1 100000 117661523 9921 10000 79 0 0 9921 39 2500 1 0 0 0 9921 79.660 71.292 ../q2/d50a2500s1/logb0001/c01d50b0001s117661523.log 1188814 q2-extractinstructions-02.txt 20150129_174212 0.4
20150125_153719 50 1 1 100000 141246882 9935 10000 65 0 0 9935 39 2500 1 0 0 0 9935 82.148 72.494 ../q2/d50a2500s1/logb0001/c01d50b0001s141246882.log 1190478 q2-extractinstructions-02.txt 20150129_174215 0.4
20150125_154013 50 1 1 100000 263688301 9916 10000 84 0 0 9916 39 2500 1 0 0 0 9916 79.141 71.152 ../q2/d50a2500s1/logb0001/c01d50b0001s263688301.log 1188218 q2-extractinstructions-02.txt 20150129_174218 0.4
20150125_154007 50 1 1 100000 420477893 9920 10000 80 0 0 9920 39 2500 1 0 0 0 9920 80.502 72.275 ../q2/d50a2500s1/logb0001/c01d50b0001s420477893.log 1188699 q2-extractinstructions-02.txt 20150129_174222 0.4
20150125_154129 50 1 1 100000 50746969 9927 10000 73 0 0 9927 39 2500 1 0 0 0 9927 82.253 71.855 ../q2/d50a2500s1/logb0001/c01d50b0001s50746969.log 1189523 q2-extractinstructions-02.txt 20150129_174225 0.4
20150125_154134 50 1 1 100000 533657980 9937 10000 63 0 0 9937 39 2500 1 0 0 0 9937 80.289 71.557 ../q2/d50a2500s1/logb0001/c01d50b0001s533657980.log 1190720 q2-extractinstructions-02.txt 20150129_174228 0.4
20150125_153835 50 1 1 100000 681028781 9936 10000 64 0 0 9936 39 2500 1 0 0 0 9936 80.802 71.183 ../q2/d50a2500s1/logb0001/c01d50b0001s681028781.log 1190601 q2-extractinstructions-02.txt 20150129_174232 0.4
20150125_153707 50 1 1 100000 919028296 9934 10000 66 0 0 9934 39 2500 1 0 0 0 9934 83.517 72.93 ../q2/d50a2500s1/logb0001/c01d50b0001s919028296.log 1190356 q2-extractinstructions-02.txt 20150129_174235 0.4
20150125_154002 50 1 1 100000 967561224 9944 10000 56 0 0 9944 39 2500 1 0 0 0 9944 82.219 72.072 ../q2/d50a2500s1/logb0001/c01d50b0001s967561224.log 1191550 q2-extractinstructions-02.txt 20150129_174238 0.4
20150125_154257 50 2 1 100000 103765041 4236 10000 0 9345 0 4236 39 2500 1 62781 62781 0 4146 194.285 178.854 ../q2/d50a2500s1/logb0001/c02d50b0001s103765041.log 1197104 q2-extractinstructions-02.txt 20150129_174242 0.4
20150125_154622 50 2 1 100000 105731136 4249 10000 0 9392 0 4249 39 2500 1 63289 63289 0 4156 192.427 179.557 ../q2/d50a2500s1/logb0001/c02d50b0001s105731136.log 1197098 q2-extractinstructions-02.txt 20150129_174245 0.4
20150125_154617 50 2 1 100000 117661523 4250 10000 0 9388 0 4250 39 2500 1 62750 62750 0 4171 195.240 180.212 ../q2/d50a2500s1/logb0001/c02d50b0001s117661523.log 1197092 q2-extractinstructions-02.txt 20150129_174248 0.4
